Index,Comment Location,Comment,Keywords,Location,Reason,Purpose,URL1,URL2,Submitting approach,Pull request/Issue link,Status
4,https://github.com/eclipse/elk/blob/14f76ac18bfee19e8711a3d4d73e291953c612cf/plugins/org.eclipse.elk.alg.mrtree/pom.xml#L42,Workaround for broken build from https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569,"['workaround', 'broken']",Plugin configuration,Build break,Workaround,https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569,,Issue,https://github.com/eclipse/elk/issues/657,Resolved and Closed
7,https://github.com/SINTEF-9012/ThingML/blob/7db8763a6ab0be99eb570eb915ef9b64e43ec3fa/language/thingml/pom.xml#L88,workaround https://github.com/eclipse/xtext/issues/1231,['workaround'],Plugin configuration,Build break,Workaround,https://github.com/eclipse/xtext/issues/1231,,Issue,https://github.com/TelluIoT/ThingML/issues/300,No response
16,https://github.com/Yakindu/statecharts/blob/1f9366f49ef93f538c7af8fb41ac86780e6cb9c4/releng/org.yakindu.sct.releng/pom.xml#L223, Workaround for https://github.com/eclipse/xtext/issues/1231 ,['workaround'],Plugin configuration,Build break,Workaround,https://github.com/eclipse/xtext/issues/1231,,Issue,https://github.com/Yakindu/statecharts/issues/3174,Closed
19,https://github.com/eclipse/elk/blob/14f76ac18bfee19e8711a3d4d73e291953c612cf/plugins/org.eclipse.elk.alg.spore/pom.xml#L49, Workaround for broken build from https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569 ,"['workaround', 'broken']",Plugin configuration,Build break,Workaround,https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569,,Issue,https://github.com/eclipse/elk/issues/657,Resolved and Closed
32,https://github.com/apache/accumulo/blob/49fa5d65f051c4b1519dd525678d0f8c79839567/core/pom.xml#L353, workaround for https://bugs.eclipse.org/bugs/show_bug.cgi?id=541772 ,['workaround'],Plugin configuration,Build tool limitation,Workaround,https://bugs.eclipse.org/bugs/show_bug.cgi?id=541772,,Pull request (Remove profile),https://github.com/apache/accumulo/pull/1652,Merged
86,https://github.com/unitsofmeasurement/unit-api/blob/46b22570905380c6389b5113b45dc9ab90ac01b6/pom.xml#L422,"TODO: use release attribute instead after next plugin release. 
 https://issues.apache.org/jira/browse/MANTRUN-214",['todo'],Plugin configuration,External library limitation,Document for later fix,https://issues.apache.org/jira/browse/MANTRUN-214,,Pull request (Remove comment),https://github.com/unitsofmeasurement/unit-api/pull/208,Merged
121,https://github.com/franca/franca/blob/5dd5c4b5c3ceba75e786c0bb59fdb85bb2494d39/plugins/org.franca.help/pom.xml#L38,Workaround for https://bugs.eclipse.org/bugs/show_bug.cgi?id=453601,['workaround'],Plugin configuration,External library limitation,Workaround,https://bugs.eclipse.org/bugs/show_bug.cgi?id=453601,,Pull request (Remove comment),https://github.com/franca/franca/pull/284,No response
130,https://github.com/vespa-engine/vespa/blob/e79b895c0910a577b84189c6e8afb368fd378312/parent/pom.xml#L86,"TODO: remove when bundle-plugin understands java 10, https://issues.apache.org/jira/browse/FELIX-5879",['todo'],Plugin configuration,External library limitation,Document for later fix,https://issues.apache.org/jira/browse/FELIX-5879,,Pull request (Remove this configuration workaround),https://github.com/vespa-engine/vespa/pull/13859,Closed
201,https://github.com/OpenGrok/OpenGrok/blob/9ce52a219b9e5772102d1fdfcfd7c3c672a332b4/opengrok-indexer/pom.xml#L339,"
                        needed for HTML 5 compliance (javadoc in JDK 11)
                        workaround for https://github.com/jflex-de/jflex/issues/534
                        ",['workaround'],Plugin configuration,External library limitation,Workaround,https://github.com/jflex-de/jflex/issues/534,,Issue,https://github.com/oracle/opengrok/issues/3172,Resolved and Closed
223,https://github.com/eclipse/elk/blob/14f76ac18bfee19e8711a3d4d73e291953c612cf/plugins/org.eclipse.elk.alg.graphviz.layouter/pom.xml#L47, Workaround for broken build from https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569 ,"['workaround', 'broken']",Plugin configuration,Build break,Workaround,https://github.com/eclipse/xtext/issues/1231#issuecomment-401125569,,Issue,https://github.com/eclipse/elk/issues/657,Resolved and Closed
247,https://github.com/jboss-fuse/fuse/blob/6b079bb4d90eacc08eb25327400c60c50c25880a/esb/esb-assembly/jboss-fuse-karaf/pom.xml#L317," workaround for errors in CXF 3.0.1 features file, cfr. CXF-5972 ",['workaround'],Plugin configuration,External library limitation,Workaround,https://issues.apache.org/jira/browse/CXF-5972,,Issue,https://github.com/jboss-fuse/fuse/issues/434,No response
268,https://github.com/jenkinsci/remoting/blob/ab254bb52de86bfbb411f2b549a3836d4ca83d24/pom.xml#L74, TODO: Required to override by a version with certchain support (MJARSIGNER-53) on @oleg-nenashev's machine. Remove once it's in upstream ,['todo'],Build variables,External library limitation,Document for later fix,https://issues.apache.org/jira/browse/MJARSIGNER-53,,Pull request (Remove maven-jarsigner-plugin.version),https://github.com/jenkinsci/remoting/pull/390,Merged
284,https://github.com/droolsjbpm/drools/blob/40087a4eb79a10847c18f6ad95976117c6ecba95/kie-pmml/pom.xml#L165," TODO: This is a temporary workaround until org.codehaus.mojo:jaxb2-maven-plugin supports JDK9.
                 (https://github.com/mojohaus/jaxb2-maven-plugin/issues/43). We need to add the plugin back
                 once we are sure it works on both JDK8 and JDK9.
           Using xjc directly (instead of jaxb2-maven-plugin) to support both JDK8 and JDK9 with single configuration.
           See https://issues.jboss.org/browse/DROOLS-1170 for more info. ","['todo', 'workaround']",Plugin configuration,External tool limitation,Workaround,https://github.com/mojohaus/jaxb2-maven-plugin/issues/43,https://issues.jboss.org/browse/DROOLS-1170,Issue,https://issues.redhat.com/browse/DROOLS-5500,Resolved and Closed
293,https://github.com/atomix/atomix/blob/3a94b7c80576d762dd0d396d4645df07a0b37c31/pom.xml#L344, workaround for https://bugs.openjdk.java.net/browse/JDK-8212233 ,['workaround'],Plugin configuration,External tool limitation,Workaround,https://bugs.openjdk.java.net/browse/JDK-8212233,,Issue,https://github.com/atomix/atomix/issues/1078,Closed
398,https://github.com/EBISPOT/goci/blob/0b7aa783a1e932df160b5a6f121af9e0afbd86e1/goci-interfaces/goci-curation/pom.xml#L61,&lt;!&ndash; workaround for https://github.com/spring-projects/spring-boot/issues/2124 &ndash;&gt;,['workaround'],External dependencies configuration,Problematic dependency,Workaround,https://github.com/spring-projects/spring-boot/issues/2124,,Pull request (Remove comment),https://github.com/EBISPOT/goci/pull/113,No response
441,https://github.com/wso2/carbon-uuf/blob/cdea864e9a02d830aedceb8e6dc661470a7152a6/samples/apps/org.wso2.carbon.uuf.sample.features-app.app/pom.xml#L23,"TODO: change the module name to org.wso2.carbon.uuf.features-app.feature
 after fixing the JIRA: https://wso2.org/jira/browse/CMVNPLG-13","['todo', 'fix']",Project metadata,Specify metadata,Document for later fix,https://wso2.org/jira/browse/CMVNPLG-13,,Pull request (Remove comment),https://github.com/wso2-attic/carbon-uuf/pull/279,No response
